Profession,Language,Translated Job Description,Translated Resume
Janitors and Cleaners,pt,"Limpe e mantenha a aparência e a funcionalidade dos edifícios ou áreas designados. Utilize vários equipamentos e produtos para garantir um saneamento completo. Resolva pequenos problemas de manutenção, desde a troca de lâmpadas até pequenos reparos. Siga as diretrizes de saúde e segurança, garantindo um ambiente seguro para os ocupantes do edifício.","Lily Chen: faxineira chefe com 7 anos no City Mall. Implementou práticas de limpeza ecológicas, reduzindo os custos em 10%. Hábil em equipamentos e técnicas avançadas de saneamento. Reconhecida por superar consistentemente os padrões de limpeza e treinar novos funcionários."
Janitors and Cleaners,bn,নির্ধারিত ভবন বা অঞ্চলগুলির চেহারা এবং কার্যকারিতা পরিষ্কার এবং বজায় রাখুন সম্পূর্ণ স্যানিটেশন নিশ্চিত করতে বিভিন্ন সরঞ্জাম এবং পণ্য ব্যবহার করুন। লাইট বাল্ব পরিবর্তন করা থেকে ছোটখাট মেরামত পর্যন্ত ছোট রক্ষণাবেক্ষণ বিল্ডিং অধিকারীদের জন্য নিরাপদ পরিবেশ নিশ্চিত করে স্বাস্থ্য এবং সুরক্ষা নির্দেশিকা মেনে চলুন,"লিলি চেন: সিটি মলে 7 বছর বয়সী হেড জ্যানিটর। বাস্তবায়িত পরিবেশ বান্ধব পরিষ্কারের পদ্ধতি, খরচ 10% উন্নত স্যানিটেশন সরঞ্জাম এবং কৌশলগুলিতে দ ধারাবাহিকভাবে পরিচ্ছন্নতার মান অতিক্রম করার এবং নতুন কর্মীদের প্রশিক্ষণের"
Janitors and Cleaners,ru,"Очищайте и поддерживайте внешний вид и функциональность назначенных зданий или зон. Используйте различное оборудование и продукты для обеспечения тщательной санитарии. Устраните мелкие проблемы с техническим обслуживанием, от замены лампочек до мелкого ремонта. Соблюдайте правила охраны труда и техники безопасности, обеспечивая безопасную среду для жильцов здания.","Лили Чен: главный уборщик с 7-летним стажем в торговом центре City Mall. Внедрены экологически чистые методы уборки, снижающие затраты на 10%. Обладают навыками владения современным санитарным оборудованием и методами. Признан за постоянное превышение стандартов чистоты и обучение нового персонала."
Janitors and Cleaners,ja,割り当てられた建物またはエリアの外観と機能を清掃し、維持します。さまざまな機器や製品を活用して、徹底した衛生管理を確保してください。電球の交換から軽微な修理まで、軽微なメンテナンスの問題に対処します。健康と安全に関するガイドラインを順守し、建物の居住者にとって安全な環境を確保してください。,リリー・チェン：シティモールで7年間働いた管理責任者。環境にやさしい清掃方法を実施し、コストを 10% 削減しました。高度な衛生設備と技術に長けている。常に清潔度基準を上回り、新しいスタッフをトレーニングしていることで知られています。
Janitors and Cleaners,de,"Reinigen und pflegen Sie das Aussehen und die Funktionalität der zugewiesenen Gebäude oder Bereiche. Verwenden Sie verschiedene Geräte und Produkte, um eine gründliche Hygiene zu gewährleisten. Beheben Sie kleinere Wartungsprobleme, vom Austausch von Glühbirnen bis hin zu kleineren Reparaturen. Halten Sie sich an die Gesundheits- und Sicherheitsrichtlinien und sorgen Sie für eine sichere Umgebung für die Bewohner von Gebäuden.","Lily Chen: Chefhausmeisterin mit 7 Jahren in der City Mall. Einführung umweltfreundlicher Reinigungspraktiken, wodurch die Kosten um 10% gesenkt wurden. Kenntnisse in fortschrittlichen sanitären Geräten und Techniken. Bekannt für die konsequente Überschreitung der Sauberkeitsstandards und die Ausbildung neuer Mitarbeiter."
Cashiers,en,"Process sales transactions, handle cash, and provide change in a retail setting. Engage with customers, addressing inquiries and ensuring a positive checkout experience. Maintain an organized, clean, and well-stocked checkout area. Resolve payment discrepancies and assist with inventory management tasks.",Rahul Patel: Lead Cashier with 6 years at MegaStore Supermarket. Improved checkout efficiency by 20% through a new queuing system. Trained over 15 cashiers in point-of-sale software and customer service. Awarded 'Cashier of the Year' twice for exemplary service and reliability.
Cashiers,zh,在零售环境中处理销售交易、处理现金和提供零钱。与客户互动，解决疑问并确保良好的结账体验。保持收银区井然有序、干净、存货充足。解决付款差异并协助完成库存管理任务。,Rahul Patel：在 MegaStore 超市工作了 6 年的首席收银员。通过新的排队系统，将结账效率提高了20％。对超过15名收银员进行了销售点软件和客户服务方面的培训。两次荣获 “年度最佳收银员” 奖，以表彰其出色的服务和可靠性。
Cashiers,es,"Procese las transacciones de venta, gestione el efectivo y proporcione cambios en un entorno minorista. Interactúe con los clientes, aborde sus consultas y garantice una experiencia de pago positiva. Mantenga un área de pago organizada, limpia y bien surtida. Resuelva las discrepancias de pago y ayude con las tareas de gestión del inventario.",Rahul Patel: cajero principal con 6 años en el supermercado MegaStore. Se mejoró la eficiencia de las cajas en un 20% gracias a un nuevo sistema de colas. Capacitó a más de 15 cajeros en software de punto de venta y servicio al cliente. Galardonado dos veces como «Cajero del año» por su servicio y confiabilidad ejemplares.
Cashiers,hi,"बिक्री लेनदेन को प्रोसेस करें, नकदी को संभालें और रिटेल सेटिंग में बदलाव प्रदान करें। ग्राहकों के साथ जुड़ें, पूछताछ का समाधान करें और चेकआउट का सकारात्मक अनुभव सुनिश्चित करें। व्यवस्थित, साफ-सुथरा और अच्छी तरह से स्टॉक किया हुआ चेकआउट क्षेत्र बनाए रखें। भुगतान संबंधी विसंगतियों का समाधान करें और इन्वेंट्री प्रबंधन कार्यों में सहायता करें।",राहुल पटेल: मेगास्टोर सुपरमार्केट में 6 साल के साथ लीड कैशियर। नई कतार प्रणाली के माध्यम से चेकआउट दक्षता में 20% तक सुधार हुआ। पॉइंट-ऑफ-सेल सॉफ़्टवेयर और ग्राहक सेवा में 15 से अधिक कैशियर को प्रशिक्षित किया। अनुकरणीय सेवा और विश्वसनीयता के लिए दो बार 'कैशियर ऑफ द ईयर' से सम्मानित किया गया।
Cashiers,ar,معالجة معاملات المبيعات والتعامل مع النقد وتوفير التغيير في بيئة البيع بالتجزئة. يمكنك التفاعل مع العملاء ومعالجة الاستفسارات وضمان تجربة دفع إيجابية. حافظ على منطقة خروج منظمة ونظيفة ومجهزة جيدًا. حل التناقضات في الدفع والمساعدة في مهام إدارة المخزون.,راهول باتيل: أمين الصندوق الرئيسي مع 6 سنوات في سوبر ماركت MegaStore. تم تحسين كفاءة الدفع بنسبة 20% من خلال نظام انتظار جديد. دربت أكثر من 15 صرافًا في برامج نقاط البيع وخدمة العملاء. حصل على جائزة «أمين الصندوق للعام» مرتين للخدمة المثالية والموثوقية.
Cashiers,pt,"Processe transações de vendas, administre dinheiro e forneça mudanças em um ambiente de varejo. Interaja com os clientes, respondendo às dúvidas e garantindo uma experiência de checkout positiva. Mantenha uma área de checkout organizada, limpa e bem abastecida. Resolva discrepâncias de pagamento e ajude nas tarefas de gerenciamento de estoque.",Rahul Patel: Caixa líder com 6 anos no supermercado MegaStore. Melhorou a eficiência do checkout em 20% por meio de um novo sistema de filas. Treinei mais de 15 caixas em software de ponto de venda e atendimento ao cliente. Premiado duas vezes como “Caixa do Ano” por serviço e confiabilidade exemplares.
Cashiers,bn,"বিক্রয় লেনদেন প্রক্রিয়া করুন, নগদ পরিচালনা করুন এবং খুচরা সেটিংসে পরিবর্তন প্রদান করুন গ্রাহকদের সাথে জড়িত হন, অনুসন্ধানগুলি সম্বোধন করুন এবং একটি ইতিবাচক চেক একটি সংগঠিত, পরিষ্কার এবং ভাল স্টক করা চেকআউট এলাকা বজায় রাখুন। পেমেন্টের বৈষম্য সমাধান করুন এবং ইনভেন্টরি ম্যানেজমেন্ট কাজগুলিতে",রাহুল প্যাটেল: মেগাস্টোর সুপারমার্কেটে 6 বছর ধরে লিড ক্যাশিয়ার। একটি নতুন সারি সিস্টেমের মাধ্যমে 20% চেকআউট দক্ষতা উন্নত করা হয়েছে। পয়েন্ট-অফ-সেল সফ্টওয়্যার এবং গ্রাহক পরিষেবাতে 15 টিরও বেশি ক্যাশিয়ারদের অনুকরণীয় সেবা এবং নির্ভরযোগ্যতার জন্য দুবার 'ক্যাশিয়ার অফ দ্য ইয়ার' পুরস্
Cashiers,ru,"Обрабатывайте сделки по продажам, обрабатывайте наличные деньги и вносите изменения в розничную торговлю. Взаимодействуйте с клиентами, отвечайте на запросы и обеспечивайте положительный опыт оформления заказа. Поддерживайте организованную, чистую и хорошо укомплектованную кассовую зону. Устраняйте расхождения в платежах и помогайте в решении задач по управлению запасами.",Рахул Патель: ведущий кассир с 6 годами работы в супермаркете MegaStore. Повышение эффективности оформления заказов на 20% благодаря новой системе очередей. Обучил более 15 кассиров программному обеспечению для торговых точек и обслуживанию клиентов. Дважды был удостоен звания «Кассир года» за образцовый сервис и надежность.
Cashiers,ja,販売取引の処理、現金の処理、小売店での変化への対応を行います。顧客と関わり、問い合わせに対応し、ポジティブなチェックアウト体験を確保します。整理整頓され、清潔で、品揃えの豊富なチェックアウトエリアを維持しましょう。支払いの不一致を解決し、在庫管理タスクを支援します。,ラーフル・パテル：メガストア・スーパーマーケットで6年間働いたリードキャッシャー。新しいキューイングシステムにより、チェックアウトの効率が 20% 向上しました。15 人以上のレジ係に POS ソフトウェアとカスタマーサービスのトレーニングを行いました。模範的なサービスと信頼性が評価され、「キャッシャー・オブ・ザ・イヤー」を2回受賞しました。
Cashiers,de,"Verarbeiten Sie Verkaufstransaktionen, verwalten Sie Bargeld und sorgen Sie für Veränderungen im Einzelhandel. Treten Sie mit Kunden in Kontakt, bearbeiten Sie Anfragen und sorgen Sie für ein positives Checkout-Erlebnis. Sorgen Sie für einen organisierten, sauberen und gut sortierten Kassenbereich. Beheben Sie Zahlungsunstimmigkeiten und unterstützen Sie bei der Inventarverwaltung.",Rahul Patel: Leitender Kassierer mit 6 Jahren im MegaStore Supermarket. Die Effizienz an der Kasse wurde durch ein neues Warteschlangensystem um 20% verbessert. Über 15 Kassierer wurden in POS-Software und Kundenservice geschult. Zweimal als „Kassierer des Jahres“ für vorbildlichen Service und Zuverlässigkeit ausgezeichnet.
